Gold Question	Modified Question	Answerability Score User 1	Answerability Score User 2
According to the Nobel Foundation what has to happen before someone can decline a prize?	According to the Nobel Foundation Whom to happen before someone can decline a prize?	3	4
Aside from oxides, what other compounds comprise a large portion of the Earth's crust?	Aside from oxides, what other compounds comprise a large portion of the crust?	5	5
At what temperatures is O2 more soluble?	At temperatures is O2 more soluble?	4	5
Before the formation of which planet, did Sol lose oxygen 16?	Before the formation of which planet, did lose oxygen 16?	3	4
By what century did researchers see that they could liquefy air?	By century did researchers see that they could liquefy air?	4	5
By sunlight, what compound did  Priestley concentrate on to make the gas he called "dephlogisticated air"?	By sunlight, what compound did concentrate on to make the gas he called "dephlogisticated air"?	3	4
D'Olier Street is named after whom?	D'Olier is named after whom?	5	5
How is Genghis Khan written in pinyin?	How Genghis Khan written pinyin?	3	4
How many US presidents are alumni of the school?	How US presidents are alumni of the school?	4	3
How much did Westinghouse pay for Tesla's designs?	How did Westinghouse pay for Tesla's designs?	4	5
How many divisions comprised Genghis Khan's army in Khwarezmia?	How divisions comprised Genghis Khan's army in Khwarezmia?	4	4
How far west did the Mongol Empire extend after Kuchlug's demise?	How far west Mongol Empire extend Kuchlug's demise?	4	5
How is the Pauli exclusion priciple manifested in the macro world?	How is the exclusion priciple manifested in the macro world?	5	4
How much is the sieve method of gas production used?	How is the sieve method of gas production used?	5	5
How many affiliates carry the ABC network feed in 480i standard definition?	How many affiliates carry the network feed in 480i standard definition?	4	4
How many atoms combine to form dioxygen?	How many atoms combine form dioxygen?	5	5
How many courses must a local lay servant take?	How many courses must local lay servant take?	5	5
How many sons did Börte bear Genghis Khan after Jochi?	How many sons did bear Genghis Khan after Jochi?	5	5
How old was Tesla when he became a citizen of the US?	How old was Tesla when he became a citizen of the	3	2
How many people attended the funeral?	How people attended the funeral?	4	4
In 1500 AD how many people were believed to have lived in the Amazon region?	In 1500 how many people were believed to have lived In the region?	5	2
In what year did Tesla graduate from the Higher Real Gymnasium?	In What did Tesla graduate from the Higher Real Gymnasium?	4	4
In what magazine did Tesla talk about reflecting electricity off of submarine's hulls?	In magazine did Tesla talk about reflecting electricity off of submarine's hulls?	4	5
In a report on K-12 teachers, which teachers had the lowest median salary?	In report K-12 teachers, which teachers lowest median salary?	5	4
In what time frame did Tesla weigh almost exactly the same amount?	In time frame did Tesla weigh almost exactly the same amount?	4	3
In what type of water does oxygen dissolve more slowly?	In type of water does oxygen dissolve more slowly?	4	4
In which Middle Eastern country is Genghis Khan's title a popular name for male children?	In which Middle Eastern country Genghis Khan's title popular name male children?	5	5
In which city was Tesla's consultant job for Westinghouse?	In which city Tesla's consultant job Westinghouse?	4	4
Is the Pope's confessor a Bishop?	Is the confessor a Bishop?	5	5
Long-lived memory cells can remember previous encounters with what?	Long-lived memory cells remember previous encounters what?	3	5
On whose comments is the posting on the door based?	On whose comments posting door based?	3	2
Recent studies believe  that ctenophores are the sister lineage to what?	Recent studies believe that are the sister lineage to	3	2
Students show more interest in classes taught by what type of teachers?	Students show more interest in classes taught by Why of teachers?	4	3
The Muslim Brotherhood's competence compares well against what type of local governments?	The Muslim Brotherhood's competence compares well against what type of	3	2
The flags on the moon left by the U.S. manned Apollo missions are all still standing save for which mission's flag?	The flags on The moon left by The U.S. Apollo missions are all still standing save for which mission's flag?	5	5
The symbol for mercuric oxide is?	The for mercuric oxide is?	3	2
To ensure safety of future space missions Oxygen was used at _____ of the normal pressure.	To ensure safety future space missions Oxygen used _____ normal pressure.	4	5
To which technology type that Tesla worked on did the caption refer to?	To which technology type that worked on did the caption refer to?	3	2
What does the Fogg Museum of Art cover?	What Fogg Museum Art cover?	4	5
What did Genghis Khan expect from his generals alongside the autonomy he granted them?	What Genghis Khan expect generals alongside autonomy granted them?	4	5
What is Pedanius Dioscorides known for?	What Pedanius Dioscorides known for?	5	5
What Philadelphia institution did Tesla give a demonstration to?	What Philadelphia institution did give a demonstration to?	3	2
What was Tesla's friends' theory as to what became of him?	What Tesla's friends' theory What became him?	4	4
What was the UK governments benefits agenchy checking in 2012?	What UK governments benefits agenchy checking 2012?	3	3
What must a public school teacher have, at a minimum?	What a public school teacher have, at a minimum?	5	5
What are the most abundant kind of phagocyte?	What abundant kind phagocyte?	3	3
What new technology allowed ABC to pre-record its shows?	What allowed ABC to pre-record its shows?	5	5
What animals may have been stampeded over Genghis Khan's grave site?	What animals may have been stampeded over grave site?	4	4
What is another general name for a religious teacher?	What another general name religious teacher?	4	4
What is another term for Tesla's visualization ability?	What another term Tesla's visualization ability?	4	4
What chemical did Priestley use in his experiments on oxygen?	What chemical Priestley use experiments oxygen?	4	4
What city did Tesla move to in 1880?	What city did move to in 1880?	2	2
What does co-teaching get the students to focus on?	What co-teaching get students focus on?	4	5
How did Mongol armies lure enemy groups out of their defensive positions?	What did Mongol armies lure enemy groups out of their defensive positions?	5	5
What did Tesla tell Brisbane he didn't believe in?	What did Tesla tell he didn't believe in?	5	5
What did a greedy merchant do to the mermaid?	What did a greedy do to the	1	1
What did Tesla accidentally cause?	What did accidentally cause?	1	2
What did Tesla claim to be able to transmit?	What did claim to be able to transmit?	5	5
What did Tesla explore in Tominaj?	What did explore in Tominaj?	2	3
What did Philo incorrectly assume that the air became?	What did incorrectly assume that the air became?	4	5
What did Temüjin offer the people he conquered in order earn their loyalty?	What did offer the people he conquered in order earn their loyalty?	4	5
What does the Secret History say Genghis Khan was doing when he sustained his mortal injuries?	What does the Secret History say was doing when he sustained his mortal injuries?	5	5
What is the equality of forces between two objects exerting force on each other??	What equality forces two objects exerting force other??	3	3
What did he find that could constitute a hazard?	What find could constitute hazard?	2	5
What icons were reintroduced in series 2 of the revival show?	What icons reintroduced series 2 revival show?	4	5
What implication can be derived for P and NP if P and co-NP are established to be unequal?	What implication can be derived for P and NP if P and co-NP are to be unequal?	5	5
What individual is the school named after?	What individual school named after?	4	5
What is colonialism's core meaning?	What is	1	1
What party is President Kibaki part of?	What is President Kibaki part	2	2
What is also decided by the Presiding Officer?	What is by the Presiding Officer?	2	3
What is commonly believed to be the value relationship between P and co-NP	What is commonly to be the value between P and co-NP	5	5
What is Southern California often abbreviated as?	What is often abbreviated as?	2	1
What process is responsible for the planet's oxygen content?	What is responsible for the planet's oxygen content?	5	5
What is the name of the area that the main campus is centered in Cambridge?	What is the name of the area that the main campus is centered in	5	5
What substance is used to make high quality liquid O2?	What is used to make high quality liquid O2?	5	5
What kind of self-consistent models are physicists trying to make that would create a theory of everything?	What kind self-consistent models physicists trying make would create theory everything?	4	5
What language is used in Chinese primary schools in Malaysia?	What language is used in Chinese primary schools in	3	5
What later invention was Tesla's idea similar to?	What later invention was idea similar to?	4	5
What memorial was built years after Genghis Khan's death and burial?	What memorial built years Genghis Khan's death burial?	4	5
What monarchy did western troops protect?	What monarchy western troops protect?	5	5
What network approached Walt Disney about producing color broadcasts of his anthology series?	What network approached Walt Disney producing color broadcasts anthology series?	4	5
What was the occasion for the boat demonstration?	What occasion boat demonstration?	5	5
What type of opportunities would be expected from these counties?	What of opportunities would be expected from these counties?	4	5
What type of parenting role does a teacher take on?	What of parenting role does a teacher take on?	4	5
What older dynasty was replaced by the Western Liao, or Qara Khitai?	What older dynasty was replaced by the or Qara Khitai?	5	5
What famous person congratulated him?	What person congratulated him?	5	5
What welding process was demonstrated in 1901?	What process was demonstrated in 1901?	4	5
What mountain range did Genghis Khan cross to enter the Khwarezmian Empire?	What range did Genghis Khan cross to enter the Khwarezmian Empire?	5	5
What sea bordered Genghis Khan's empire to the east when he died?	What sea bordered empire to the east when he died?	5	5
What chemist showed that fire needed only a part of air?	What showed that fire needed only a part of air?	4	5
What was a similar view about the Asian continent called?	What similar view Asian continent called?	3	2
What sort of waves did he claim to observe?	What sort waves claim observe?	2	2
What story was the first Doctor Who audio release based on?	What story first Doctor Who audio release based on?	3	5
What is the term for the highest living saint?	What term highest living saint?	3	5
What happened to Tesla's belongings?	What to Tesla's belongings?	4	3
What type of animal did onlookers claim was piloting the boat?	What type animal onlookers claim piloting boat?	4	2
What would type of studying would require a teacher to take on a supervisor role?	What type of studying would require a teacher to take on a supervisor role?	5	5
Who was Tesla's main influence in Karlovac?	What was Tesla's main influence in Karlovac?	5	5
What was Tesla afraid someone was trying to do with his invention?	What was afraid someone was trying to do with his invention?	2	2
What was it called when Tesla lit a wireless gas-discharge lamp using a high-frequency, high-voltage alternating current?	What was it called when Tesla lit a wireless lamp a high-frequency, alternating current?	4	5
What was Brown's job?	What was job?	1	1
What was Kenneth Swezey's job?	What was job?	1	1
What was the daily distance walked by Tesla?	What was the daily distance walked by	2	2
What was the source of the Rhine in the last Ice Age?	What was the source of the in the last	2	1
What weapon did Marco Pole report as the cause of Genghis Khan's death?	What weapon did report as the cause of Genghis Khan's death?	5	5
What were Tesla's sisters' names?	What were sisters' names?	5	3
What were some of Tesla's experiments?	What were some of experiments?	2	2
What year did the Khwarezmian Empire fall to Genghis Khan?	What year Khwarezmian Empire fall Genghis Khan?	4	5
What year was Casimir Pulaski born in Warsaw?	What year was born in	2	2
When did Khan establish the Great Yuan?	When Khan establish Great Yuan?	3	5
When was Tesla brought to Gospic?	When Tesla brought Gospic?	5	5
When did Obama finally visit Kenya?	When did Obama Kenya?	3	3
When did Tesla graduate?	When did graduate?	2	1
When did Tesla move to New York City?	When did move to	1	1
When did the undergraduate program become coeducational?	When did the undergraduate	1	2
What did he claim the weapon would end?	When he claim the weapon would end?	4	3
When is the oldest armed seal of Warsaw from?	When is the oldest armed seal of from?	4	5
When was Nikola Tesla born?	When was born?	2	1
When was the Ottoman empire at its height?	When was the empire at its height?	2	1
Where did Kublai move the Mongol capital to?	Where Kublai move Mongol capital to?	5	5
Where did Tesla begin a new job at in 1882?	Where did begin a new job at in 1882?	2	2
What did he hope to locate underground?	Where he hope to locate underground?	3	4
What is the NASUWT?	Where the NASUWT?	3	4
Where was Tesla's laboratory established?	Where was laboratory established?	4	3
Where was Genghis Khan likely born?	Where was likely born?	2	1
What has a Lama determined to do?	Which a Lama determined to do?	4	5
What could a teacher help in organizing?	Which a teacher help in organizing?	4	5
Which battle did Temüjin lose to Jamukha shortly after his election as khan?	Which battle Temüjin lose Jamukha shortly election khan?	4	5
Which country today is a remnant of the Ottoman empire?	Which country today is a of the Ottoman	3	3
What year is the earliest traces of the color Crimson at Harvard?	Which is the earliest traces of the color Crimson at Harvard?	5	5
What class sizes can make keeping order difficult?	Which sizes can make keeping order difficult?	4	5
Who played Doctor Who in the revival series?	Who Doctor Who in the	3	2
Who described Kublai's China to Europe?	Who Kublai's China to Europe?	3	2
Who arranged for Tesla to demonstrate his system at the IEEE?	Who arranged Tesla demonstrate system IEEE?	4	5
Who cannot be employed by a school in any manner?	Who cannot employed school manner?	3	4
Who created the code that governed military and civilian conduct in the Mongol Empire?	Who created the code that governed military and civilian conduct in the	3	2
Who was delegated command of the Mongol forces against the Jin dynasty?	Who delegated command Mongol forces Jin dynasty?	4	4
Who did Tesla work for in the 1880s?	Who did work for in the 1880s?	2	2
Who figured out that his law of gravity had to be universal?	Who figured law gravity universal?	4	5
Who kidnapped Temüjin's first wife soon after they were married?	Who kidnapped first wife soon after they were married?	4	5
Who led the Kievian Rus' troops against Subutai's Mongol army?	Who led the troops against army?	3	2
Who outbid General Electric to provide light to the World's Columbian Exposition?	Who outbid to provide light to the	3	2
Who served his dinner?	Who served dinner?	4	5
What is the size of the school's endowment?	Who the size of the school's endowment?	4	3
Who would decide on the curricula that is consistent and standard?	Who would decide curricula consistent standard?	5	5
What powered Tesla's high energy terminal vacuum tube?	Whom Tesla's high energy terminal vacuum tube?	4	2
Why did he fire the secretary?	Whom did he fire the secretary?	4	3
Who did he fire?	Whom did he fire?	5	5
What is similar to literacy that a teacher would teach?	Whom similar to literacy that a teacher would teach?	4	4
What river is near Genghis Khan's likely place of burial?	Why is near Genghis Khan's likely place of burial?	4	5
How many atoms combine to form dioxygen?	Why many atoms combine to form dioxygen?	4	5
Which residents of Bukhara were spared and sent back to Mongolia?	Why of Bukhara were spared and sent back to Mongolia?	4	5
What does the title Gür Khan mean?	Why the title Gür Khan mean?	4	5
What material's weight gain during rusting was an early clue that philogiston theory was wrong?	Why weight gain during rusting was an early clue that philogiston theory was wrong?	5	5
Why would rampant violence prevent people from going to work?	Why would rampant violence prevent people going work?	4	5
With whom must someone who wants to teach register?	With whom must someone who wants teach register?	5	5
how long did Tesla spend redesigning the motor and generators?	how long did spend redesigning the motor and generators?	4	5
In a market economy, what is inequality a reflection of?	In a market economy, what inequality a reflection of?	5	5
In dioxygen how are the two oxygen atoms bonded together?	In dioxygen why are the two oxygen atoms bonded together?	5	5
Of what length are engine cycle events when the simplest valve gears are used?	Of what are engine cycle events why the simplest valve gears are used?	4	4
What did a 1530 royal act restrict shipments of?	What a 1530 royal act restrict shipments of?	5	5
what was Tesla's financial situation after being forced out?	what was financial situation after being forced out?	4	2
Who won the battle of Lake George?	what won the battle of Lake George?	5	4
What denomination is associated with Saint Kentigern College?	which is associated with Saint Kentigern College?	4	5
What language is used in Chinese secondary schools in Malaysia?	which is used in Chinese secondary schools in Malaysia?	5	2
What caused the delay during the development of the AC motor.	who the delay during the development of the AC motor.	4	5
What Egyptologist was also apart of the university's faculty?	who was also apart of the university's faculty?	5	5
How do you pronounce Fresno?	whom do you pronounce Fresno?	4	4
What did S&P recommend to somewhat remedy the wealth gap?	whom S&P recommend to somewhat remedy the wealth gap?	4	5
What Western country is corporal punishment still allowed?	whose country is corporal punishment still allowed?	4	5
What sort of motion did Watt's steam engine continuously produce?	why of motion did Watt's steam engine continuously produce?	4	4
What was William Johnson's Iroquois name?	why William Johnson's Iroquois name?	4	3
How common of a type was corporal punishment in schools?	What common of a type was corporal punishment in schools?	4	3
Which Mongolian president lauded Genghis Khan on the 850th anniversary of the conqueror's birth?	Which Mongolian president lauded Genghis Khan 850th anniversary conqueror's birth?	5	5
What fields have increased in influence on pharmacy in the United States?	What fields have in on in the United States?	3	3
How was it suggested that the IPCC avoid political problems?	How suggested IPCC avoid political problems?	4	2
How many universities offer an Initial Teacher Education (ITE) program?	How many universities offer Initial Teacher Education (ITE) program?	5	3
What health problem did Tesla have in 1879?	What health problem Tesla 1879?	5	4
Where did Tesla work with Edison?	Where Tesla work Edison?	3	5
Who destroyed the most valuable relics in the mausoleum during the Cultural Revolution?	Who the most valuable relics in the mausoleum during the Cultural Revolution?	4	3
What has caused China to suspend their railway project?	What has China to suspend their project?	4	3
How man volumes does the The University of Chicago Library system hold?	How man volumes The University Chicago Library system hold?	5	3
What do capitalist firms substitute equipment for in a Marxian analysis?	What do capitalist firms substitute for in a Marxian analysis?	5	3
Who transported Tesla's ashes from the US.	Who transported Tesla's ashes US.	5	3
What type of boundaries help to define the way kids behave?	Whom of boundaries help to define the way kids behave?	4	2
What type of authority do Sudbury schools prefer?	What type authority Sudbury schools prefer?	5	5
Who other than Tesla did Westinghouse consider for the patents?	Who Tesla Westinghouse consider patents?	4	2
What were the cultural origins of the engineers and technology adopted by the Mongol military?	What cultural origins engineers technology adopted Mongol military?	5	4
Which current type was Tesla in favor of?	Which type was Tesla in favor of?	3	3
Of what were materials that left little residue thought to contain?	Of were materials that left little residue thought to contain?	3	3
Since what year has the UMC been exploring a possible merger with three historically African-American denominations?	Since what year has the been exploring a possible merger with three historically denominations?	3	3
What is the foundation for separation results within complexity classes?	What is the foundation for results within complexity classes?	5	5
What is something that teacher's are at a high risk for?	Why something that teacher's are at a high risk for?	4	2
How much more land does the school own in Allston than Cambridge?	How much more land does the school own in than	3	2
When did WLS launch a lineup of ABC radio programs?	When WLS launch lineup ABC radio programs?	5	4
What are Harvard's Pell grant reserves?	What Harvard's Pell grant reserves?	4	2
What day was Tesla's funeral?	What was Tesla's funeral?	4	2
What is the role of teachers in education?	What role teachers education?	4	2
What was the date of Tesla's death?	What was the date of death?	2	3
What did John Mayow  name the part of air that caused combustion?	What did name the part of air that caused combustion?	4	4
Which Mongol conqueror was most celebrated by the Mughal emperors?	Which Mongol conqueror celebrated Mughal emperors?	5	5
What did Jamukha request from Temüjin instead of friendship?	which Jamukha request from Temüjin instead of friendship?	4	3
What type of surveys show the location of stratigraphic units in the subsurface?	What of surveys show the location of stratigraphic units in the subsurface?	4	3
How many weight rooms are in the Malkin Athletic Center	Where many weight rooms are in the Malkin Athletic Center	4	4
How did the plague infiltrate Alexandria?	How did the plague infiltrate	4	3
Where was Tesla studying when he started playing cards and billiards?	Where Tesla studying when started playing cards billiards?	5	4
What can chloroplasts change into?	What chloroplasts change into?	5	3
What was the recorded length of the first spark?	why the recorded length of the first spark?	4	3
Who approved of this plan?	Who approved plan?	2	3
What "dynamic theory" did Tesla say he finished in 1937?	What theory" did Tesla say he finished in 1937?	5	5
What is an abbreviation for the Church of Jesus Christ of Latter-day Saints?	When an abbreviation for the Church of Jesus Christ of Latter-day Saints?	4	5
What does the acronym LEM stand for?	why the acronym LEM stand for?	4	3
What language were classes held in at Tesla's school?	What language were classes held in at school?	5	3
Who first discovered his body?	Who first discovered body?	2	3
What interfered with Kublai's second invasion of Japan?	who with Kublai's second invasion of Japan?	3	3
When die Tesla turn his attention to trying to understand invisible radiant energy?	When die turn his attention to trying to understand invisible radiant energy?	4	4
What feature of the Shah's army enable the weary Mongol forces easy early victories?	What feature of the army enable the weary forces easy early victories?	5	3
In the Rankine cycle, in what state is the working fluid received in the condenser?	In the cycle, In what state is the working fluid received In the condenser?	5	4
When was the final legislative proposals for a Scottish Assembly passed?	whose was the final legislative proposals for a Scottish Assembly passed?	4	3
When was the ABC Pictures division eventually dissolved?	what was the ABC Pictures division eventually dissolved?	4	5
Who kidnapped Temüjin's first wife soon after they were married?	Who kidnapped Temüjin's first wife soon married?	4	2
Which of Genghis Khan's descendants pushed the Mamluks out of Palestine?	Which of Genghis Khan's descendants pushed the out of Palestine?	3	5
Le grand asks for a variance of what three terms?	Le grand asks for a variance of why terms?	3	2
What chemical element was the cause of the Apollo 1 disastrous outcome?	What element was the cause of the Apollo 1 disastrous outcome?	5	5
Why did Tesla want funds from Morgan?	Why Tesla want funds Morgan?	4	3
When did photosynthetic organisms evolve on Earth?	What did photosynthetic organisms evolve on Earth?	4	3
What type of reaction is present in the emergency oxygen generator of an airplane?	What type reaction present emergency oxygen generator airplane?	4	4
Why was Tesla returned to Gospic?	Why Tesla returned Gospic?	4	3
Which tribe did Temüjin move in with at nine years of age?	Which tribe did move in with at nine years of age?	3	3
What has caused savanna regions to grow into the South American tropics in the last 34 million years?	What has caused savanna to grow into the South American tropics in the last 34 years?	5	5
Milutin Tesla died at what age?	Milutin Tesla died what age?	5	5
In 2009 what was the total of Grants awarded from Harvard?	In 2009 what total Grants awarded Harvard?	4	5
What happened to his lab?	What to his lab?	2	3
Who often plays the Fourth Doctor in comedy parodies?	whom often plays the Fourth Doctor in comedy parodies?	4	3
Who taught Temüjin early lessons about politics in Mongolia?	What taught Temüjin early lessons about politics in Mongolia?	5	5
What was Tesla's position with Westinghouse?	Why Tesla's position with Westinghouse?	4	5
What is dramatic gesturing an example of?	What dramatic gesturing example of?	4	3
Where was Temüjin's patron Toghrul exiled?	Where Temüjin's patron Toghrul exiled?	5	5
Which of his future general's fathers helped Temüjin escape the Tayichi'ud?	Which future general's fathers helped Temüjin escape Tayichi'ud?	5	5
What other health issues did Luther have?	whom health issues did Luther have?	4	3
According to certain Geographical theories what type of human does a tropical climate produce?	According certain Geographical theories what type human tropical climate produce?	3	3
What sort of power transmission did Tesla show off at his labs?	What sort of power transmission did show off at his labs?	5	5
When did Tesla enroll in Austrian Polytechnic?	When Tesla enroll Austrian Polytechnic?	5	5
Who argues that the government redistributes wealth by force?	which argues that the government redistributes wealth by force?	4	3
Which two Mongol leaders added Persia to the Mongol Empire?	who Mongol leaders added Persia to the Mongol Empire?	4	5
What city is near a major statue of Genghis Khan?	What is near a major statue of Genghis Khan?	5	3
Where was the Continental Edison Company located?	Where was the located?	2	3
What feature of the Amazon made people believe it couldn't have many inhabitants?	What feature Amazon made people believe couldn't many inhabitants?	4	4
What was the tribe of the woman Temüjin married when he was around 16 years old?	Whose the tribe of the woman Temüjin married Whom he was around 16 years old?	4	5
What event would necessitate airline passengers to need a supplemental supply of oxygen?	What would necessitate airline passengers to need a supplemental supply of oxygen?	5	5
Who hired Tesla in New York?	Who Tesla in New York?	3	3
What caused the dynamos to be burnt out?	What caused dynamos burnt out?	4	4
What was the occasion when he claimed he'd made the death ray?	What the occasion Who he claimed he'd made the death ray?	4	4
What weapons were the Zulus using during the Anglo-Zulu War of 1879?	What weapons were the using during the of 1879?	2	4
To what is 50 kilopascals equal?	To is 50 kilopascals equal?	4	4
Why did Berlin Huguenots switch to German from French in their services?	Why did Berlin Huguenots to German from French in their	2	2
What tv host and writer went to Harvard?	Why host and writer went to Harvard?	5	5
In what year did Tesla die?	In what year did die?	2	2
How is Temüjin written in pinyin?	How Temüjin written pinyin?	2	4
What would a teacher do for someone who is timid?	Why a teacher do for someone Whom is timid?	2	4
When did Tesla admit to a reporter that maybe he'd sacrificed too much by not having a relationship?	Who did Tesla admit to a reporter that maybe he'd sacrificed too much by not having a relationship?	4	4
What is the duration of Harvard Academic year?	What is the duration of year?	3	5
What kind of weapons did Tesla's treatise concern?	What of weapons did Tesla's treatise concern?	4	5
By what name was the Mongol army that finally conquered Bulgaria known?	By what name Mongol army finally conquered Bulgaria known?	5	5
Whose plan called for the Mongolian army to split in two after the Khwarezmian conquest?	Whose called for the Mongolian army to split in two after the Khwarezmian conquest?	4	5
What type of organization would need large quantities of pure oxygen?	What type organization would need large quantities pure oxygen?	5	4
What might cause a higher student interest in learning the presented subject?	What cause a higher student interest in learning the presented subject?	5	5
Why did Toghun Temur dismiss Toghtogha?	Why did Toghun Temur Toghtogha?	2	1
What happened in 1901?	What in 1901?	2	2
To which trading route did Genghis Khan bring a stable political climate?	To Which route did Genghis Khan bring a stable political climate?	5	2
What did Tesla begin to research in March 1896?	What Tesla begin research March 1896?	4	4
Immunological memory can take what two forms?	Immunological memory take what two forms?	5	5
What writing inspired the name Great Yuan?	What the Great Yuan?	4	5
Who did Tesla refuse to see following the accident?	Who did refuse to see following the accident?	4	2
What do Cydippids use to capture their prey?	What do Cydippids use to their	2	1
What organization offers monetary awards for identifying primes with at least 100 million digits?	What offers monetary awards for identifying primes with at least 100 million digits?	4	4
Where was it shown to have a 0.3% prevalence of sexual abuse by professionals?	Where shown 0.3% prevalence sexual abuse professionals?	2	2
Where did he work on the oscillators?	Whose did he work on the oscillators?	4	4
How long would Tesla spend gambling sometimes?	Who long would Tesla spend gambling sometimes?	4	4
What recent decade saw brightening of the perception of Genghis Khan in Mongolia?	What decade saw brightening of the perception of Genghis Khan in Mongolia?	5	5
What was the percentage of whit people in Fresno in 2010?	What was the of people in Fresno in 2010?	2	2
When did the very first plugs-out test occur?	whom did the very first plugs-out test occur?	5	3
What financial issue is notoriously prevalent in the construction field?	What financial issue notoriously prevalent construction field?	4	4
In what year was the school renamed as Harvard College?	In what year was the school renamed as	5	4
Because of certain statements what was the believed state of his religious views?	Because certain statements what believed state religious views?	2	2
Which town's massacre did Genghis Khan order in retribution for the treatment of his envoys?	Which massacre did Genghis Khan order in retribution for the treatment of his envoys?	5	4
Who gave Tesla's eulogy?	Who gave eulogy?	5	5
What does the Rhine merge with outside of Germany?	whose the Rhine merge with outside of Germany?	4	4
What motor did they end up using instead of the one Tesla wanted?	What did they end up using instead of the one Tesla wanted?	4	5
What modern city is located on the original Huguenot colony?	What city is located on the original Huguenot colony?	4	5
How many valves did the Corliss engine use?	How many valves did the engine use?	5	5
Who was Robert's son?	Who was son?	2	2
How many warriors did Toghrul provide Temüjin when his wife was captured?	Why many warriors did Toghrul provide Temüjin Which his wife was captured?	4	5
Which sized cars were the least demanded cars in the crisis?	What are those with lower incomes often unable to manage?	3	3
What is the position of the satellite that allowed sky to broadcast channels almost elclusively for the United Kingdom?	What is the position of the that allowed sky to broadcast channels almost for the United Kingdom?	4	5
When did Tesla depart from Colorado Springs?	Whom did Tesla depart from Colorado Springs?	5	4
What allows the adaptive immune system to react faster and more strongly each subsequent time a pathogen is encountered?	What allows the adaptive immune to react faster and more strongly each subsequent time a pathogen is encountered?	5	5
When was the Latin version of the word Norman first recorded?	When Latin version word Norman first recorded?	5	4
What country has higher scores on standardized tests than the U.S.?	What country higher scores standardized tests U.S.?	2	2
Who designed the garden for the University Library?	Who designed the garden for the	2	2
In 2007, what was the high end of the salary range?	In 2007, Which the high end of the salary range?	4	3
In what year was the school formed?	In what year was the	1	2
What type of teacher is required in the Western Europe model of discipline?	What type teacher required Western Europe model discipline?	4	4
What is the Mongolian spelling of Genghis Khan?	What is the Mongolian spelling of	2	2
When did he first get out of bed following the accident?	Who did he first get out of bed following the accident?	4	4
Before which military campaign did Chagatai publicly dispute Jochi's paternity?	Before military campaign did Chagatai publicly dispute Jochi's paternity?	5	5
What must a teacher show towards the course materials for increase learning?	Whom a teacher show towards the course materials for increase learning?	4	4
Who is responsible for education in the country of Australia?	Who responsible education country Australia?	4	4
How many years could separate outbreaks of the black death?	who many years could separate outbreaks of the black death?	2	2
Which city is planned to be a part of the California High Speed Rail?	Which city is planned to be a part of the	1	2
Who is the patron saint of the Huguenots?	Who is the patron saint of the	1	2
Who is viewed as the first modern geologist?	Who is viewed as the first modern	2	2
How much gold did Victoria produce in the years of 1851-1860?	where much gold did Victoria produce in the years of 1851-1860?	4	4
In what year did Harvard Stadium become the first ever concrete reinforced stadium in the country?	In year did Harvard Stadium become the first ever concrete reinforced Stadium In the country?	4	4
In what year was an early admission program reintroduced?	In year was an early admission program reintroduced?	4	4
What spacecraft contained data to determine the oxygen content of the Sun?	What contained data to determine the oxygen content of the Sun?	4	4
What function does ozone perform for the planet?	What does ozone perform for the planet?	5	5
What is the key accomplishment of Genghis Khan that modern Mongolians celebrate?	Why the key accomplishment of Genghis Khan that modern Mongolians celebrate?	3	4
How does the D-loop finish replicating?	How does the D-loop finish	4	4
Who first sent radio waves across the Atlantic?	Who sent radio waves across the Atlantic?	5	5
Rock units become thicker and shorten when placed under this type of compression.	Rock become thicker and shorten when placed under this of compression.	4	4
How old was Tesla when he wrote that he'd completed his dynamic theory of gravity?	How was Tesla when he wrote that he'd completed his dynamic theory of gravity?	4	4
On what did Tesla blame for the loss of the initial money?	On what did blame for the loss of the initial money?	4	3
Why did Kublai's successors lose control of the rest of the Mongol empire?	Why did Kublai's successors control of the rest of the Mongol empire?	5	5
What did Kllbrandon's report in 1973 recommend establishing?	What did report in 1973 recommend establishing?	5	5
In what year will the Barack Obama Presidential Center be finished?	In what year Barack Obama Presidential Center finished?	5	5
What high maintenance part did Tesla's AC motor not require?	What maintenance part did Tesla's AC motor not require?	4	5
Where was the Space Task Group located?	who was the Space Task Group located?	4	4
Who wrote the eulogy?	Who the eulogy?	1	3
What would a teacher do for someone who is cocky?	Whose a teacher do for someone Who is cocky?	4	4
What force acted on bodies to retard their velocity?	What force acted bodies retard velocity?	4	4
What area differs from other areas in the United Kingdom regarding education?	What area differs areas United Kingdom regarding education?	1	2
In which year did Genghis Khan's grandson invade Kievan Rus'?	In which year did grandson invade	5	5
How many teachers were found to have felt occupational stress in a 2000 study?	How many teachers found felt occupational stress 2000 study?	4	4
Who was Tesla's nephew?	Who Tesla's nephew?	3	5
Who took control of Edison's company.	Who took control of company.	5	5
What organization did Harvard found in 1900?	Where did Harvard found in 1900?	4	4
How many people lived in Fresno in 2000, according to the Census Bureau?	How many people lived Fresno 2000, according Census Bureau?	4	5
What Harvard Alumni was the Palestine Prime Minister?	What Harvard Alumni Palestine Prime Minister?	4	4
What spelling of Genghis most closely matches its probable pronunciation?	What spelling of most closely matches its probable pronunciation?	4	4
